dpID,site,table,years_available_averaged,siteID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,freshMass_mean_2018_2024,dryMass_mean_2018_2024,scannedLeafNumber_mean_2018_2024,leafArea_mean_2018_2024,percentGreen_mean_2018_2024,leafMassPerArea_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,freshMass_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,scannedLeafNumber_mean_2018_2024_unit,leafArea_mean_2018_2024_unit,percentGreen_mean_2018_2024_unit,leafMassPerArea_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_021.basePlot.cfc,distributed,drmNO6RIfvRPEiTG8aV3v1d+e4wLgzuOGjfFP8uaHmw=,A00000180934,1,4.712,2.012,49,20934.2,100,96.1,0.427,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_021.basePlot.cfc,distributed,drmNO6RIfvRn5Gfj+f7jrJkqzcdSVzmqrKsH1DTw8Io=,A00000180926,1,7.669,3.499,26,11517.5,100,303.8,0.456,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvQtEwrerzBDILx4LUAfcZkCEtQvK+Q9rEc=,A00000180935,1,6.926,3.264,4,22775.2,100,143.3,0.471,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvSDHnrVx1dQzsQNKMUiGovk+Zpn6q4ajQo=,A00000180945,1,2.935,1.463,8,4877.5,90,299.9,0.498,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvSRgiBhHHCivwlZ18X2iflRuINW8WQWY4c=,A00000134894,1,3.527,2.32,2,28126.5,100,82.5,0.658,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvSRgiBhHHCivyyzTqlTXObiI7gT2oB6b88=,A00000180927,1,6.539,3.011,3,28512.7,100,105.6,0.46,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvSk3YpwnZgdtj8eIlPyg1R/FqUl685DPXI=,A00000134877,1,6.96,3.73,7,28938.5,100,128.9,0.536,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_028.basePlot.cfc,distributed,drmNO6RIfvStne7N97J40/ODoUslk8jOMdZRkv9wBIw=,A00000180950,1,6.325,2.964,2,28018.7,98,105.8,0.469,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_029.basePlot.cfc,distributed,drmNO6RIfvRWBBTINWGyxRVPV2ziVOuTkzMjjoc/3+g=,A00000134925,1,2.439,1.081,19,16920.6,100,63.9,0.443,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_029.basePlot.cfc,distributed,drmNO6RIfvTr/54n3AqJOv1KiWmO0pRnphHjtdyu98w=,A00000134896,1,4.922,2.089,14,28613.3,100,73,0.424,2019,2019,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,JERC,cfc_LMA,"2019,2024",JERC,JERC_030.basePlot.cfc,distributed,drmNO6RIfvQk2WcGJZ9HurKH6X/iFooUuVZxhBnJq1g=,A00000180928,1,7.191,3.424,16,28040.6,95,122.1,0.476,2024,2024,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
