table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName,dpID,site,year
sls_bgcSubsampling,sampleCode,Barcode of a sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,cnSampleID,Identifier for a carbon-nitrogen sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,cnSampleCode,Barcode of a carbon-nitrogen sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,bgcArchiveID,Identifier for a biogeochemistry archive sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,bgcArchiveCode,Barcode of a biogeochemistry archive sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,bgcArchiveMass,Mass of a biogeochemistry archive sample,real,gram,basic,*.#(round),N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,toxicodendronPossible,Indicator for whether a sample may contain Toxicodendron spp,string,NA,basic,LOV,N,cfc.toxicodendron,DP1.10086.001,HARV,2019
sls_bgcSubsampling,sampleCondition,Condition of a sample,string,NA,basic,LOV,N,sls.sampleCondition,DP1.10086.001,HARV,2019
sls_bgcSubsampling,bgcRemarks,Remarks from biogeochemistry subsample processing,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,processedBy,An identifier for the technician who processed the sample(s),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_bgcSubsampling,bgcDataQF,Quality flag for biogeochemistry sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,siteID,NEON site code,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,startDate,The start date-time or interval during which an event occurred,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,collectDate,Date of the collection event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,samplingProtocolVersion,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX,string,NA,basic,LOV,N,sls.samplingProtocolVersion,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,genomicsPooledIDList,List of sample identifiers pooled for a genomics sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,genomicsSampleID,Identifier for a genomics sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,genomicsSampleCode,Barcode of a genomics sample,string,NA,basic,asIs,Y,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,sampleCondition,Condition of a sample,string,NA,basic,LOV,N,sls.geneticSampleCondition,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,processedDate,Date or date and time of processing event,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm'Z'(round),N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,processedBy,An identifier for the technician who processed the sample(s),string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,genomicsDataQF,Quality flag for genomics sample,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,,DP1.10086.001,HARV,2019
sls_metagenomicsPooling,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,,DP1.10086.001,HARV,2019
sls_soilChemistry,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,analysisDate,Date that the sample was analyzed,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
sls_soilChemistry,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA,DP1.10086.001,HARV,2019
