siteID,horizontalPosition,verticalPosition,table,PARMean,PARMinimum,PARMaximum,PARVariance,PARNumPts,PARExpUncert,PARStdErMean,PARFinalQF,outPARMean,outPARMinimum,outPARMaximum,outPARVariance,outPARNumPts,outPARExpUncert,outPARStdErMean,outPARFinalQF,table,site,height_m,source_file
DCFS,000,030,PARPAR_30min,335.631683,244.0938214,426.3697985,11784.19467,1798.300348,12.11211979,1.090541074,0.062573328,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DCFS,3,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DCFS,000,040,PARPAR_30min,341.1057082,248.9066272,432.3575457,11989.89419,1798.396781,12.57600031,1.095727912,0.015553709,77.59190908,61.41221162,94.52393249,457.7607908,1798.264552,3.133209894,0.196222489,0.013109438,PARPAR_30min,DCFS,4,DP1.00024.001.DCFS.AVERAGE_ALL_VARIABLES.csv
DEJU,000,010,PARPAR_1min,91.55752471,85.06919302,98.67854403,416.8109474,59.97902661,3.68879532,0.465109421,0.010430246,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DEJU,1,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,020,PARPAR_1min,178.7224115,170.8003637,186.8739038,614.7848061,59.96251462,6.322120871,0.611671368,0.017328249,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DEJU,2,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,030,PARPAR_1min,209.818652,202.1469104,217.6842161,634.9853369,59.96220654,7.407180092,0.608274085,0.149003824,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DEJU,3,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,040,PARPAR_1min,210.3291424,203.336074,217.4959923,565.7196915,59.97940427,6.986952057,0.560294697,0.037956807,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_1min,DEJU,4,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,050,PARPAR_1min,223.2080936,215.8693625,230.7186437,601.975469,59.97836157,7.638566742,0.585361635,0.042373061,19.46870599,18.9335348,20.00161198,1.650536436,59.97891222,1.089231249,0.039466724,0.018027311,PARPAR_1min,DEJU,5,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,010,PARPAR_30min,91.58684907,55.49581807,146.8775472,5903.00417,1796.404545,4.982972795,0.596630484,0.011431039,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DEJU,1,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,020,PARPAR_30min,178.8446138,124.431614,238.9813008,6753.464564,1795.765907,7.662185246,0.753039511,0.018152783,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DEJU,2,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
DEJU,000,030,PARPAR_30min,209.9941086,154.7127458,270.2339413,6724.15971,1795.993883,8.837275451,0.746541585,0.149589363,NA,NA,NA,NA,NA,NA,NA,NA,PARPAR_30min,DEJU,3,DP1.00024.001.DEJU.AVERAGE_ALL_VARIABLES.csv
